[09:29:10] [info] RAZEL: Create window VoicePilot (1600 , 900)
[09:29:10] [info] RAZEL: OpenGL Info:
[09:29:10] [info] RAZEL:   Vendor: NVIDIA Corporation
[09:29:10] [info] RAZEL:   Renderer: NVIDIA GeForce RTX 3050/PCIe/SSE2
[09:29:10] [info] RAZEL:   Version: 4.6.0 NVIDIA 566.14
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:10] [warning] RAZEL: Pixel data = -1
[09:29:13] [warning] RAZEL: Pixel data = -1
[09:29:13] [warning] RAZEL: Pixel data = -1
[09:29:13] [warning] RAZEL: Pixel data = -1
[09:29:13] [warning] RAZEL: Pixel data = -1
[09:29:13] [warning] RAZEL: Pixel data = -1
[09:29:13] [warning] RAZEL: Pixel data = -1
[09:29:13] [warning] RAZEL: Pixel data = -1
[09:29:13] [warning] RAZEL: Pixel data = -1
[09:29:13] [warning] RAZEL: Pixel data = -1
[09:29:13] [warning] RAZEL: Pixel data = -1
[09:29:13] [warning] RAZEL: Pixel data = -1
[09:29:13] [warning] RAZEL: Pixel data = -1
[09:29:13] [warning] RAZEL: Pixel data = -1
[09:29:13] [warning] RAZEL: Pixel data = -1
[09:29:13] [warning] RAZEL: Pixel data = -1
[09:29:13] [warning] RAZEL: Pixel data = -1
[09:29:13] [warning] RAZEL: Pixel data = -1
[09:29:13] [warning] RAZEL: Pixel data = -1
[09:29:13] [warning] RAZEL: Pixel data = -1
[09:29:14] [warning] RAZEL: Pixel data = -1
[09:29:14] [warning] RAZEL: Pixel data = -1
[09:29:14] [warning] RAZEL: Pixel data = -1
[09:29:14] [warning] RAZEL: Pixel data = -1
[09:29:14] [warning] RAZEL: Pixel data = -1
[09:29:14] [warning] RAZEL: Pixel data = -1
[09:29:14] [warning] RAZEL: Pixel data = -1
[09:29:14] [warning] RAZEL: Pixel data = -1
[09:29:14] [warning] RAZEL: Pixel data = -1
[09:29:14] [warning] RAZEL: Pixel data = -1
[09:29:14] [warning] RAZEL: Pixel data = -1
[09:29:14] [warning] RAZEL: Pixel data = -1
[09:29:14] [warning] RAZEL: Pixel data = -1
[09:29:14] [warning] RAZEL: Pixel data = -1
[09:29:14] [warning] RAZEL: Pixel data = -1
